nb threads,measure i,time
1,1,0.32
1,2,0.38
1,3,0.41
1,4,0.27
1,5,0.38
1,6,0.41
1,7,0.28
1,8,0.37
1,9,0.40
1,10,0.42
2,1,0.42
2,2,0.42
2,3,0.36
2,4,0.35
2,5,0.40
2,6,0.42
2,7,0.42
2,8,0.42
2,9,0.43
2,10,0.42
4,1,0.42
4,2,0.42
4,3,0.33
4,4,0.41
4,5,0.43
4,6,0.37
4,7,0.40
4,8,0.43
4,9,0.40
4,10,0.43
8,1,0.39
8,2,0.41
8,3,0.42
8,4,0.40
8,5,0.43
8,6,0.42
8,7,0.42
8,8,0.40
8,9,0.43
8,10,0.39
16,1,0.44
16,2,0.44
16,3,0.43
16,4,0.41
16,5,0.43
16,6,0.43
16,7,0.41
16,8,0.43
16,9,0.43
16,10,0.42
32,1,0.43
32,2,0.43
32,3,0.42
32,4,0.34
32,5,0.31
32,6,0.36
32,7,0.41
32,8,0.42
32,9,0.43
32,10,0.42
64,1,0.47
64,2,0.38
64,3,0.38
64,4,0.39
64,5,0.36
64,6,0.38
64,7,0.35
64,8,0.42
64,9,0.41
64,10,0.42
